"geo","gdp_pps_pct","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct","country","dev_class"
"NL32",168,5.93076923076923,49.1333333333333,NA,46.87,99.25,"NL","piu_sviluppata"
"NL34",104,4.5,29.8333333333333,NA,46.84,100,"NL","piu_sviluppata"
"NL41",137,3.58333333333333,39.9666666666667,NA,47.47,99.25,"NL","piu_sviluppata"
"NL42",114,4.06666666666667,38.4,NA,52.76,99.06,"NL","piu_sviluppata"
"PT11",65,6.775,24.7666666666667,1.97,45.26,88.605,"PT","meno_sviluppata"
"PT15",71,8.85,24.6666666666667,0.48,76.75,89.635,"PT","meno_sviluppata"
"PT20",65,7.25,15.8333333333333,0.41,89.14,92.675,"PT","meno_sviluppata"
"PT30",71,7.7,24.5666666666667,0.46,77.24,91.7,"PT","meno_sviluppata"
"RO11",67,4.675,19.3333333333333,0.25,451.52,94.525,"RO","meno_sviluppata"
"RO12",68,7.9125,16.4333333333333,0.35,374.49,94.605,"RO","meno_sviluppata"
"RO21",45,8.5,12.3666666666667,0.25,263.67,93.14,"RO","meno_sviluppata"
"RO22",58,7.2375,12.9333333333333,0.1,259.75,91.675,"RO","meno_sviluppata"
"RO31",54,10.3,13.9666666666667,0.27,287.45,92.585,"RO","meno_sviluppata"
"RO32",168,4.3125,41.0333333333333,0.97,309.58,96.89,"RO","piu_sviluppata"
"RO41",55,12.625,17.4,0.12,251.25,92.57,"RO","meno_sviluppata"
"RO42",73,3.44,16.3333333333333,0.67,311.8,94.585,"RO","meno_sviluppata"
"SE11",164,12.4833333333333,56.1333333333333,3.57,64.25,95.425,"SE","piu_sviluppata"
"SE12",102,13.425,44.6666666666667,3.65,98.29,95.77,"SE","piu_sviluppata"
"SE21",103,10.5636363636364,37.9666666666667,1.64,106.7,94.415,"SE","piu_sviluppata"
"SE22",102,14.4916666666667,47.5,3.25,90.48,94.98,"SE","piu_sviluppata"
"SE23",114,11.8,45.6333333333333,5.31,94.46,93.13,"SE","piu_sviluppata"
"SE31",95,12.7545454545455,35.6333333333333,1.05,97.33,93.365,"SE","transizione"
"SE32",103,11.15,40.2333333333333,0.7,103.69,93.29,"SE","piu_sviluppata"
"SE33",126,9.1,43.3,2.51,117.43,89.125,"SE","piu_sviluppata"
"SI03",71,6.03333333333333,35.5,1.52,95.3,95.54,"SI","meno_sviluppata"
"SI04",106,5.14545454545455,46.0666666666667,2.59,75.46,97.64,"SI","piu_sviluppata"
"SK01",158,2.6,46.5666666666667,1.52,320.53,98.07,"SK","piu_sviluppata"
"SK02",66,4.48571428571429,23.6666666666667,0.78,371.35,94.64,"SK","meno_sviluppata"
"SK03",62,10.825,24.5333333333333,0.72,421.43,95.255,"SK","meno_sviluppata"
"SK04",54,29.0333333333333,27.7666666666667,0.57,335.17,93.52,"SK","meno_sviluppata"
