"geo","country","dev_class","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct"
"AT11","AT","transizione",5.15,31.3666666666667,0.84,181.16,94.185
"AT12","AT","transizione",6.84166666666667,33.9,1.78,158.04,93.215
"AT13","AT","piu_sviluppata",14.15,44.4666666666667,4.04,159.05,94.34
"AT21","AT","piu_sviluppata",6.1125,33.6,2.98,135.77,93.245
"AT22","AT","piu_sviluppata",5.48333333333333,30.2333333333333,5.17,135.05,92.43
"AT31","AT","piu_sviluppata",4.72727272727273,30.4666666666667,3.58,131.78,92.955
"AT32","AT","piu_sviluppata",5.4,33.6,1.75,113.53,93.91
"AT33","AT","piu_sviluppata",5.1375,31.4333333333333,3.21,141.24,92.22
"AT34","AT","piu_sviluppata",4.075,28.6333333333333,1.86,132.51,95.135
"BE10","BE","piu_sviluppata",15.4416666666667,52.2,2.49,53.37,96.5
"BE21","BE","piu_sviluppata",5.99166666666667,43.5333333333333,1.25,46.45,96.36
"BE22","BE","transizione",3.8625,39.2333333333333,1.25,44.13,96.465
"BE23","BE","piu_sviluppata",3.84166666666667,50,1.25,49.13,96.27
"BE24","BE","piu_sviluppata",5.06363636363636,53.1666666666667,1.25,46.35,98.055
"BE25","BE","piu_sviluppata",4.58333333333333,39.5,1.25,46.68,96.42
"BE31","BE","piu_sviluppata",7.68,59.6333333333333,1.25,49.54,97.905
"BE32","BE","meno_sviluppata",11.575,33.4666666666667,1.25,72.7,94.085
"BE33","BE","transizione",11.4333333333333,42.3666666666667,1.25,61.31,95.6
"BE34","BE","meno_sviluppata",6.3,44.6333333333333,1.25,59.14,93.35
"BE35","BE","transizione",9.15454545454545,42.7666666666667,1.25,70.06,92.59
"BG31","BG","meno_sviluppata",18.8777777777778,19.9,0.36,185.95,86.75
"BG32","BG","meno_sviluppata",10.875,26.6,0.31,176.56,91.335
"BG33","BG","meno_sviluppata",9.05555555555556,25.9666666666667,0.35,186.67,92.615
"BG34","BG","meno_sviluppata",8.4,22.7333333333333,0.28,247.64,90.865
"BG41","BG","transizione",5.23333333333333,43.1,1.18,130.36,93.115
"BG42","BG","meno_sviluppata",5.23,22.6,0.46,385.73,92.765
"CY00","CY","transizione",7.375,46.9333333333333,0.83,83.77,96.705
"CZ01","CZ","piu_sviluppata",3.77272727272727,49.8,2.83,240.95,97.08
"CZ02","CZ","transizione",4.24166666666667,25.6,2.28,273.1,94.655
"CZ03","CZ","transizione",4.06666666666667,21.6,1.57,191.48,96.11
"CZ04","CZ","meno_sviluppata",6.52727272727273,15.1,0.38,295.37,93.015
"CZ05","CZ","meno_sviluppata",4.54166666666667,20.9333333333333,1.38,240.85,93.66
"CZ06","CZ","transizione",3.86666666666667,27.7666666666667,2.52,257.32,94.055
"CZ07","CZ","meno_sviluppata",4.45833333333333,24.5666666666667,1.58,232.85,93.97
